,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0000009,"('Miss Geraldine Holbrook (Miss Jerry)', 'actress')","('Mr. Hamilton', 'actor')","('Chauncey Depew - the Director of the New York Central Railroad', 'actor')",,,,,,,,,,,,,,,
0000574,"('Kate Kelly', 'actress')","('School Master', 'actor')","('Steve Hart', 'actor')",,,,,,,,,,,,,,,
0001892,"('Stella', 'actress')","('Grev Johan Waldberg', 'actor')","('Hofjuveler A. Hirsch', 'actor')",,,,,,,,,,,,,,,
0002101,"('Cleopatra - Queen of Egypt', 'actress')","('Iras - An Attendant', 'actress')","('Charmian - An Attendant', 'actress')","('Octavia - Wife of Antony', 'actress')","('Nicola - a Child', 'actress')","('Antony - a Triumvir and General', 'actor')","('Pharon - a Greek Slave and Fisherman', 'actor')","('Venditius - a Roman Soldier', 'actor')",,,,,,,,,,
0002130,"('Dante Alighieri', 'actor')","('Virgilio', 'actor')","('Farinata degli Uberti', 'actor')","('Pier delle Vigne', 'actor')","('Il conte Ugolino', 'actor')","('Il conte Ugolino', 'actor')",,,,,,,,,,,,
0002199,"('Jesus - the Man', 'actor')","('Jesus as a Youth', 'actor')","('Mary', 'actress')","('Mary Magdalene', 'actress')","('Pilate', 'actor')","('John the Baptist', 'actor')","('Judas', 'actor')","('Herod', 'actor')",,,,,,,,,,
0002423,"('Jeanne Vaubernier - later Madame Dubarry', 'actress')","('König Louis XV', 'actor')","('Armand De Foix', 'actor')","('Graf Jean Dubarry', 'actor')",,,,,,,,,,,,,,
0002445,"('Vinicius', 'actor')","('Petronius', 'actor')","('Nero', 'actor')","('Eunice', 'actress')",,,,,,,,,,,,,,
0002452,"('Carol I', 'actor')","('Principesa Elisabeta', 'actress')","('Osman Pasa', 'actor')","('Tarul Alexandru II', 'actor')",,,,,,,,,,,,,,
0002461,"('King Edward IV', 'actor')","('Richard, Duke of Gloucester, afterward Richard III', 'actor')","('Prince Edward of Lancaster', 'actor')","('Earl of Richmond', 'actor')",,,,,,,,,,,,,,
0002646,"('Dr. Friedrich Kammacher', 'actor')","('Ingigerd Hahlstroem - artistic dancer', 'actress')","('Eva Burns', 'actress')","('Dr. Schmidt', 'actor')",,,,,,,,,,,,,,
0002844,"('Fantômas', 'actor')","('Gurn', 'actor')","('Inspector Juve', 'actor')","(""Jérôme Fandor, journaliste à 'La Capitale'"", 'actor')","('Lady Beltham, maîtresse de Fantômas', 'actress')",,,,,,,,,,,,,
0003014,"('Ingeborg Holm', 'actress')","('Sven Holm - Older Eric Holm', 'actor')","('Employee in Shop', 'actor')","('Poorhouse Superintendant', 'actor')","('Police Officer', 'actor')","('Doctor', 'actor')",,,,,,,,,,,,
0003037,"('Fantômas', 'actor')","('Dr Chaleck', 'actor')","('Le Loupart', 'actor')","('Inspector Juve', 'actor')","('Jérôme Fandor, journaliste', 'actor')","('Lady Beltham', 'actress')",,,,,,,,,,,,
0003102,"('Elsa Holbein', 'actress')","('Prince Maximilien of Wallenstein', 'actor')","('Moise Sthar', 'actor')","('Col. Julius Holbein', 'actor')","('Granduke of Wallenstein', 'actor')","('Granduchess of Wallenstein', 'actress')",,,,,,,,,,,,
0003131,"('Adolphe Hardeff', 'actor')","('Liza Modzel', 'actress')","('Monsieur Modzel', 'actor')","('Madame Modzel', 'actress')","('Lieutenant Maxime', 'actor')","('Sigismond Modzel', 'actor')",,,,,,,,,,,,
0003165,"('Fantômas', 'actor')","('le banquier Nanteuil', 'actor')","('Inspector Juve', 'actor')","('Jérôme Fandor', 'actor')","('Jacques Dollon', 'actor')",,,,,,,,,,,,,
0003167,"('John Howard Payne', 'actor')","(""Payne's Mother"", 'actress')","(""Payne's Sweetheart"", 'actress')","(""Sister of Payne's Sweetheart"", 'actress')","('The Worldly Woman', 'actress')","('Apple Pie Mary Smith', 'actress')","(""James Smith - Mary's Father"", 'actor')",,,,,,,,,,,
0003419,"('Balduin, a Student', 'actor')","('Countess Margit von Schwarzenberg', 'actress')","('Lyduschka, a Gypsy Girl', 'actress')","('Scapinelli, an Old Sorcerer', 'actor')",,,,,,,,,,,,,,
0003471,"('Mary Barton', 'actress')","('Lorna Barton', 'actress')","(""The Invalid Inventor - Mary's Father"", 'actor')","('Officer Burke - Officer 4434', 'actor')",,,,,,,,,,,,,,
0003489,"('Nidia', 'actress')","('Jone', 'actress')","('Glaucus', 'actor')","('Arbace', 'actor')",,,,,,,,,,,,,,
0003637,"('Assunta Spina', 'actress')","('Michele Boccadifuoco', 'actor')","('Don Federigo Funelli', 'actor')","('Raffaele', 'actor')",,,,,,,,,,,,,,
0003643,"('The Nephew', 'actor')","('The Uncle', 'actor')","(""Anabel - The Nephew's Sweetheart"", 'actress')","('The Italian', 'actor')","('The Detective', 'actor')","('The Maid', 'actress')","('The Grocery Boy', 'actor')",,,,,,,,,,,
0003657,"('Jim Stokes', 'actor')","('Sheriff Bud Walsh', 'actor')","('Nell Brent', 'actress')","('Phil Brent', 'actor')","('Rev. Joshua Wilkes', 'actor')","('Bartender', 'actor')",,,,,,,,,,,,
0003740,"(""Sophonisba - Hasdrubal's Daughter"", 'actress')","('Cabiria - also called Elissa', 'actress')","(""Maciste - Axilla's Slave"", 'actor')","('Cabiria da piccola', 'actress')","('as a Child', 'actress')",,,,,,,,,,,,,
0003772,"('Cinderella', 'actress')","('Prince Charming', 'actor')","('Stepmother', 'actress')","('Stepsister', 'actress')","('Stepsister', 'actress')","('The King', 'actor')","('Fairy Godmother', 'actress')","('Undetermined Role', 'actor')",,,,,,,,,,
0003883,"('Léonce', 'actor')","('Edmond Le Bachelier', 'actor')","('Le Bosco', 'actor')","('Pierre de Valen', 'actor')","('Le savetier Tiron', 'actor')","('Jacques de Valen', 'actor')","('La gouvernante', 'actress')",,,,,,,,,,,
0003930,"('Fantômas', 'actor')","('Le père Moche', 'actor')","('Le détective Tom Bob', 'actor')","('Jérôme Fandor, journaliste', 'actor')","(""L'apache Paulet"", 'actor')","('Lady Beltham', 'actress')",,,,,,,,,,,,
0003973,"('Dr. Fred Cassadene', 'actor')","('Miss Lillian Travers', 'actress')","('Maj. Horton', 'actor')","('Bessie Horton', 'actress')",,,,,,,,,,,,,,
